subject_id,session_id,muscle,arm,rep_number,rms,mav,wl,zc,ssc,n_samples,data_quality,label,fatigue_level,label_type,load_kg,sex,age,weight_kg,height_m,workouts_per_week,modality,dataset
Suj_1,Suj_1_B1,Bicep,1,1,60.47971527376728,41.36767676767677,26704.0,188,300,990,valid,0.0,0,rep_ordinal_proxy,10.0,M,23.0,72.0,1.75,3.0,emg,mendeley_emg_biceps_triceps
Suj_1,Suj_1_B1,Bicep,1,2,60.80903172244741,39.83845278725825,22605.0,150,269,879,valid,0.3333333333333333,0,rep_ordinal_proxy,10.0,M,23.0,72.0,1.75,3.0,emg,mendeley_emg_biceps_triceps
Suj_1,Suj_1_B1,Bicep,1,3,54.65759957672274,35.91702127659575,20896.0,154,276,940,valid,0.6666666666666666,1,rep_ordinal_proxy,10.0,M,23.0,72.0,1.75,3.0,emg,mendeley_emg_biceps_triceps
Suj_1,Suj_1_B1,Bicep,1,4,56.09885377927821,36.2046511627907,20273.0,140,238,860,valid,1.0,2,rep_ordinal_proxy,10.0,M,23.0,72.0,1.75,3.0,emg,mendeley_emg_biceps_triceps
Suj_1,Suj_1_B2,Bicep,2,1,40.011304768575336,27.214854111405835,14261.0,143,235,754,valid,0.0,0,rep_ordinal_proxy,,,,,,,emg,mendeley_emg_biceps_triceps
Suj_1,Suj_1_B2,Bicep,2,2,43.85080514242532,29.643705463182897,16121.0,139,244,842,valid,0.3333333333333333,0,rep_ordinal_proxy,,,,,,,emg,mendeley_emg_biceps_triceps
Suj_1,Suj_1_B2,Bicep,2,3,43.164749387031705,29.993288590604028,21349.0,185,316,1043,valid,0.6666666666666666,1,rep_ordinal_proxy,,,,,,,emg,mendeley_emg_biceps_triceps
Suj_1,Suj_1_B2,Bicep,2,4,40.331528521071874,27.9696734059098,23993.0,213,346,1286,valid,1.0,2,rep_ordinal_proxy,,,,,,,emg,mendeley_emg_biceps_triceps
Suj_2,Suj_2_B1,Bicep,1,1,44.79678816534311,30.330029732408324,21206.0,173,304,1009,valid,0.0,0,rep_ordinal_proxy,7.5,M,26.0,68.0,1.74,4.0,emg,mendeley_emg_biceps_triceps
Suj_2,Suj_2_B1,Bicep,1,2,58.41177118751493,38.00928381962865,19158.0,143,231,754,valid,0.3333333333333333,0,rep_ordinal_proxy,7.5,M,26.0,68.0,1.74,4.0,emg,mendeley_emg_biceps_triceps
Suj_2,Suj_2_B1,Bicep,1,3,59.377754236365156,37.20086862106406,21768.0,158,266,921,valid,0.6666666666666666,1,rep_ordinal_proxy,7.5,M,26.0,68.0,1.74,4.0,emg,mendeley_emg_biceps_triceps
Suj_2,Suj_2_B1,Bicep,1,4,59.77409542318588,40.94248366013072,18733.0,127,208,765,valid,1.0,2,rep_ordinal_proxy,7.5,M,26.0,68.0,1.74,4.0,emg,mendeley_emg_biceps_triceps
Suj_2,Suj_2_B2,Bicep,2,1,51.858464114359386,35.471471471471475,15989.0,119,193,666,valid,0.0,0,rep_ordinal_proxy,,,,,,,emg,mendeley_emg_biceps_triceps
Suj_2,Suj_2_B2,Bicep,2,2,53.07330534722281,35.41043723554302,15519.0,109,214,709,valid,0.3333333333333333,0,rep_ordinal_proxy,,,,,,,emg,mendeley_emg_biceps_triceps
Suj_2,Suj_2_B2,Bicep,2,3,42.85180219865744,30.117100371747213,21334.0,175,304,1076,valid,0.6666666666666666,1,rep_ordinal_proxy,,,,,,,emg,mendeley_emg_biceps_triceps
Suj_2,Suj_2_B2,Bicep,2,4,53.10828772954283,36.793984962406014,33992.0,239,399,1330,valid,1.0,2,rep_ordinal_proxy,,,,,,,emg,mendeley_emg_biceps_triceps
Suj_3,Suj_3_B1,Bicep,1,1,15.476111269956679,10.96693386773547,7181.0,152,340,998,valid,0.0,0,rep_ordinal_proxy,3.0,F,25.0,75.0,1.68,3.0,emg,mendeley_emg_biceps_triceps
Suj_3,Suj_3_B1,Bicep,1,2,16.951696080333672,12.016,7437.0,157,305,875,valid,0.3333333333333333,0,rep_ordinal_proxy,3.0,F,25.0,75.0,1.68,3.0,emg,mendeley_emg_biceps_triceps
Suj_3,Suj_3_B1,Bicep,1,3,14.299238024890892,10.542196531791907,6224.0,136,298,865,valid,0.6666666666666666,1,rep_ordinal_proxy,3.0,F,25.0,75.0,1.68,3.0,emg,mendeley_emg_biceps_triceps
Suj_3,Suj_3_B1,Bicep,1,4,18.397368912370656,12.909738717339668,7126.0,144,276,842,valid,1.0,2,rep_ordinal_proxy,3.0,F,25.0,75.0,1.68,3.0,emg,mendeley_emg_biceps_triceps
Suj_3,Suj_3_B2,Bicep,2,1,21.6469456940155,14.862464183381089,7409.0,115,227,698,valid,0.0,0,rep_ordinal_proxy,,,,,,,emg,mendeley_emg_biceps_triceps
Suj_3,Suj_3_B2,Bicep,2,2,26.461281321169054,17.90989660265879,7909.0,111,208,677,valid,0.3333333333333333,0,rep_ordinal_proxy,,,,,,,emg,mendeley_emg_biceps_triceps
Suj_3,Suj_3_B2,Bicep,2,3,29.85877396978522,20.02468085106383,16633.0,215,376,1175,valid,0.6666666666666666,1,rep_ordinal_proxy,,,,,,,emg,mendeley_emg_biceps_triceps
Suj_3,Suj_3_B2,Bicep,2,4,31.25776651457482,20.838211382113823,17948.0,226,357,1230,valid,1.0,2,rep_ordinal_proxy,,,,,,,emg,mendeley_emg_biceps_triceps
Suj_4,Suj_4_B1,Bicep,1,1,12.720900504914653,9.13762486126526,5576.0,147,302,901,valid,0.0,0,rep_ordinal_proxy,3.0,F,27.0,67.0,1.64,3.0,emg,mendeley_emg_biceps_triceps
Suj_4,Suj_4_B1,Bicep,1,2,12.590970181859774,9.12289156626506,5165.0,133,258,830,valid,0.3333333333333333,0,rep_ordinal_proxy,3.0,F,27.0,67.0,1.64,3.0,emg,mendeley_emg_biceps_triceps
Suj_4,Suj_4_B1,Bicep,1,3,12.822669897854835,9.07074340527578,5409.0,157,285,834,valid,0.6666666666666666,1,rep_ordinal_proxy,3.0,F,27.0,67.0,1.64,3.0,emg,mendeley_emg_biceps_triceps
Suj_4,Suj_4_B1,Bicep,1,4,14.855590910996401,10.732410611303346,6461.0,149,267,867,valid,1.0,2,rep_ordinal_proxy,3.0,F,27.0,67.0,1.64,3.0,emg,mendeley_emg_biceps_triceps
Suj_4,Suj_4_B2,Bicep,2,1,29.613846982625677,19.448160535117058,8429.0,108,173,598,valid,0.0,0,rep_ordinal_proxy,,,,,,,emg,mendeley_emg_biceps_triceps
Suj_4,Suj_4_B2,Bicep,2,2,32.04567215744103,21.424410540915396,10334.0,123,230,721,valid,0.3333333333333333,0,rep_ordinal_proxy,,,,,,,emg,mendeley_emg_biceps_triceps
Suj_4,Suj_4_B2,Bicep,2,3,39.078749463440104,26.25345247766044,20972.0,214,344,1231,valid,0.6666666666666666,1,rep_ordinal_proxy,,,,,,,emg,mendeley_emg_biceps_triceps
Suj_4,Suj_4_B2,Bicep,2,4,37.9306269328886,24.163454124903623,21539.0,206,387,1297,valid,1.0,2,rep_ordinal_proxy,,,,,,,emg,mendeley_emg_biceps_triceps
Suj_5,Suj_5_B1,Bicep,1,1,27.35681986022202,18.55299055613851,12003.0,175,287,953,valid,0.0,0,rep_ordinal_proxy,5.5,M,20.0,72.0,1.72,4.0,emg,mendeley_emg_biceps_triceps
Suj_5,Suj_5_B1,Bicep,1,2,34.1973995807376,22.742761692650333,13841.0,164,283,898,valid,0.3333333333333333,0,rep_ordinal_proxy,5.5,M,20.0,72.0,1.72,4.0,emg,mendeley_emg_biceps_triceps
